luminosity,N,P,K,ph,EC,humidity,temperature,score,soil_quality
116.3,26.2,12.9,61.4,5.08,0.13,32.2,34.74,36.26,Poor
209.0,70.0,14.6,35.4,5.3,0.49,98.43,15.36,39.85,Poor
465.5,115.1,25.4,86.1,4.96,0.57,60.52,14.12,51.78,Moderate
381.9,6.0,14.2,46.7,4.34,0.43,40.79,24.07,38.64,Poor
478.8,31.5,6.8,40.3,4.84,0.48,17.66,28.98,36.33,Poor
388.5,32.8,66.4,122.5,6.82,1.26,55.95,19.11,66.45,Healthy
565.9,97.7,41.5,117.5,5.83,0.71,35.94,29.38,58.63,Moderate
115.3,22.1,12.0,68.0,4.39,0.26,11.47,13.12,25.64,Poor
356.1,27.9,69.0,170.1,6.87,1.34,60.55,26.89,68.83,Healthy
644.7,130.6,34.4,131.4,6.6,0.93,57.36,17.61,71.07,Healthy
452.4,95.0,64.1,79.6,4.94,1.17,57.52,30.04,56.98,Moderate
217.5,14.7,20.3,13.4,4.18,0.51,39.87,11.57,30.0,Poor
449.2,89.8,22.6,65.2,4.94,0.91,38.09,29.75,47.72,Moderate
654.9,81.9,39.3,134.1,6.46,1.18,75.89,19.59,68.79,Healthy
717.1,70.7,49.6,120.4,5.83,0.96,49.19,31.0,62.56,Moderate
196.9,5.3,6.8,12.0,4.34,0.28,38.35,36.86,28.37,Poor
641.5,72.3,23.3,103.7,5.28,0.88,52.7,25.32,58.09,Moderate
692.6,152.0,52.5,116.8,6.46,1.59,75.63,18.12,70.29,Healthy
301.5,20.8,8.0,62.6,4.61,0.39,14.24,9.84,27.91,Poor
547.6,60.7,55.5,100.0,6.4,0.89,25.04,29.1,60.59,Moderate
837.0,111.3,43.5,93.5,6.3,0.59,33.15,32.03,62.08,Moderate
385.8,38.2,10.4,31.4,4.94,0.3,21.73,14.96,35.15,Poor
260.3,82.1,22.7,110.7,8.25,1.06,58.97,18.04,51.5,Moderate
791.3,120.6,66.3,140.3,6.1,1.05,25.99,32.91,63.3,Moderate
214.1,16.2,4.6,61.9,5.05,0.57,11.01,30.01,34.59,Poor
363.7,54.7,42.2,109.5,7.69,1.03,60.81,31.42,56.53,Moderate
215.2,11.9,4.1,16.8,4.08,0.5,25.11,8.85,23.06,Poor
671.8,158.4,60.3,194.8,6.14,1.61,72.75,17.64,71.15,Healthy
102.7,24.8,23.3,48.9,7.78,2.95,26.64,36.36,32.84,Poor
116.5,70.2,26.0,83.3,8.27,3.38,60.54,11.28,37.89,Poor
378.0,14.8,13.5,31.0,4.28,0.31,18.88,12.17,26.51,Poor
556.3,45.7,24.1,133.5,7.16,1.08,33.07,29.99,56.21,Moderate
294.3,74.6,39.5,89.0,7.9,1.24,52.5,26.6,55.42,Moderate
504.4,135.7,31.5,79.7,5.57,0.85,62.54,22.66,63.25,Moderate
575.3,118.0,53.9,198.1,6.29,0.87,72.48,18.78,70.68,Healthy
296.5,53.6,38.3,98.4,7.25,0.55,39.52,25.16,55.62,Moderate
314.9,64.4,31.1,97.0,6.0,0.72,35.67,21.7,57.05,Moderate
788.3,115.0,37.7,97.4,6.92,1.01,25.41,31.09,59.96,Moderate
231.9,36.8,6.5,34.5,4.1,0.53,15.71,30.74,27.07,Poor
274.6,12.6,9.8,30.7,4.4,0.43,25.52,34.57,29.19,Poor
749.1,175.1,57.6,233.3,6.33,1.82,58.2,20.82,78.45,Healthy
105.0,40.3,38.2,56.1,5.05,0.71,94.47,13.57,39.03,Poor
647.8,63.5,50.2,114.0,6.01,1.02,51.79,16.54,63.84,Moderate
736.7,131.6,45.2,213.1,6.14,0.88,63.67,19.85,73.56,Healthy
822.9,68.1,45.6,131.1,6.41,0.59,31.32,21.33,64.63,Moderate
398.5,66.7,42.3,141.2,5.8,0.43,45.01,22.03,59.46,Moderate
300.3,38.9,14.3,12.1,3.98,0.32,16.3,35.1,23.76,Poor
263.8,17.1,17.1,56.8,4.48,0.48,30.14,27.99,35.87,Poor
358.7,31.8,55.1,165.8,6.65,1.0,68.23,25.61,68.35,Healthy
308.2,37.0,25.3,76.1,5.02,0.35,93.58,10.47,37.01,Poor
625.0,63.6,35.5,114.3,5.01,1.0,64.32,25.63,57.51,Moderate
755.7,205.1,58.2,239.8,7.05,0.93,57.07,20.98,77.91,Healthy
755.9,54.5,81.6,81.4,6.59,1.06,68.6,23.6,72.31,Healthy
865.2,83.7,61.7,153.1,6.53,1.64,81.85,16.21,67.86,Healthy
424.3,21.5,63.8,135.9,6.43,0.92,60.4,22.72,70.39,Healthy
214.2,11.4,2.7,48.5,4.41,0.52,13.27,14.81,26.99,Poor
628.0,174.0,46.1,162.4,6.73,0.98,58.75,28.06,75.2,Healthy
483.0,84.1,35.6,81.0,5.7,1.08,58.99,28.79,62.01,Moderate
609.2,112.6,73.3,185.1,6.12,1.74,59.96,19.41,72.58,Healthy
399.6,26.0,17.0,53.2,4.42,0.54,30.98,23.49,38.61,Poor
496.4,53.8,29.0,95.4,6.36,1.19,40.98,36.65,58.96,Moderate
328.8,14.1,10.8,36.0,4.21,0.48,18.5,38.37,24.88,Poor
501.6,129.9,86.9,187.5,6.81,1.24,61.57,27.77,76.29,Healthy
687.7,66.5,30.8,89.7,7.04,1.06,28.76,28.45,57.68,Moderate
495.7,21.1,19.0,54.9,4.29,0.41,27.58,25.77,36.16,Poor
489.6,128.6,69.5,202.6,6.46,1.16,44.51,15.45,72.16,Healthy
589.6,45.3,22.6,81.0,7.92,2.72,23.74,37.83,36.27,Poor
327.2,29.2,7.6,58.2,4.66,0.25,19.83,10.22,29.67,Poor
400.2,78.6,33.0,95.9,7.8,2.01,44.83,20.39,51.54,Moderate
383.0,37.7,2.8,53.4,4.62,0.11,33.2,37.1,32.53,Poor
291.1,68.6,42.5,130.2,5.39,0.49,38.16,21.27,53.1,Moderate
341.8,74.1,54.3,122.0,5.05,0.78,50.43,31.43,53.1,Moderate
628.4,67.9,40.1,112.8,6.84,1.0,28.86,29.2,59.96,Moderate
774.8,23.1,69.1,167.8,6.5,1.11,63.6,25.09,74.94,Healthy
531.9,150.9,60.9,175.8,7.06,1.6,53.87,19.73,70.17,Healthy
82.2,25.9,17.8,37.8,4.32,0.5,28.91,19.28,32.48,Poor
301.1,26.1,6.6,23.6,4.58,0.57,12.71,39.34,26.26,Poor
428.1,61.6,25.8,92.2,7.65,2.11,47.02,27.28,51.96,Moderate
195.0,12.7,13.7,22.4,4.32,0.24,13.56,19.03,27.01,Poor
391.6,63.7,37.7,67.0,5.4,0.42,48.47,12.15,49.01,Moderate
522.3,14.5,4.9,43.6,4.21,0.28,20.47,27.44,30.94,Poor
371.2,6.4,10.5,59.2,4.12,0.34,16.87,32.22,26.79,Poor
377.3,78.9,43.3,123.5,4.94,1.19,36.83,19.59,51.66,Moderate
293.6,77.2,36.1,56.0,5.0,0.32,100.0,10.89,37.1,Poor
350.1,75.1,33.8,81.1,5.07,0.56,56.66,19.6,52.61,Moderate
445.8,163.2,68.8,221.2,6.31,1.17,67.14,19.4,76.54,Healthy
261.6,21.1,7.9,23.0,4.05,0.13,27.63,32.87,26.11,Poor
503.9,113.0,45.1,222.6,6.58,1.71,60.7,20.11,74.06,Healthy
456.8,80.7,47.4,150.0,5.16,1.04,53.76,12.84,55.6,Moderate
225.2,11.2,10.3,50.8,5.35,0.49,36.46,10.7,39.42,Poor
369.6,26.2,15.6,34.1,4.9,0.17,28.9,20.55,38.52,Poor
114.0,34.0,14.3,35.3,3.85,0.23,11.5,25.88,25.99,Poor
316.6,28.4,14.7,49.9,4.49,0.4,28.95,37.95,31.01,Poor
267.8,123.8,43.3,150.7,4.95,0.72,60.53,26.63,58.26,Moderate
757.0,58.5,46.7,103.7,6.32,0.84,56.47,28.54,68.3,Healthy
75.8,21.4,2.9,23.0,4.09,0.56,12.37,10.26,20.6,Poor
86.1,34.1,16.4,35.1,4.52,0.44,16.82,30.2,30.57,Poor
437.7,106.9,26.0,149.2,7.29,0.7,39.38,34.65,55.32,Moderate
516.5,95.9,32.1,127.7,5.3,0.94,35.67,28.95,54.29,Moderate
611.9,41.7,40.1,127.1,7.72,2.03,44.23,27.89,53.26,Moderate
358.8,63.2,25.8,81.6,5.21,0.66,51.16,30.54,50.89,Moderate
797.8,166.9,74.8,217.9,6.34,1.51,58.58,21.57,80.92,Healthy
630.1,155.7,80.5,227.6,6.62,1.44,48.94,24.07,79.51,Healthy
418.0,26.6,7.6,37.5,4.27,0.21,19.12,25.11,31.79,Poor
460.0,183.6,92.1,249.4,6.71,1.55,66.47,22.4,80.26,Healthy
362.4,118.1,43.7,87.7,5.38,0.53,39.26,12.34,50.41,Moderate
610.8,58.1,64.5,86.4,6.14,0.98,59.24,20.99,68.37,Healthy
422.0,76.6,44.5,130.6,7.85,1.68,67.54,22.83,57.46,Moderate
583.4,122.0,30.4,95.5,6.76,0.52,34.98,32.58,59.34,Moderate
195.6,16.0,15.6,46.8,4.16,0.15,19.67,18.45,27.53,Poor
729.0,75.0,51.6,96.9,5.98,0.7,24.13,32.06,55.94,Moderate
427.4,39.2,54.6,111.9,6.6,0.85,67.58,27.05,66.6,Healthy
338.9,51.5,39.0,101.0,7.76,2.02,69.97,24.05,53.83,Moderate
527.2,39.5,5.2,49.7,4.81,0.54,22.36,34.0,35.89,Poor
595.7,125.2,44.9,154.1,6.61,0.99,80.03,19.36,68.84,Healthy
207.5,26.6,28.4,26.3,5.87,3.88,29.32,15.63,38.5,Poor
504.2,174.2,52.2,163.9,6.23,1.46,52.71,18.52,72.22,Healthy
826.7,116.2,62.3,157.8,6.71,1.95,59.41,16.79,71.75,Healthy
484.9,97.8,37.1,91.9,6.02,1.33,35.7,24.73,62.21,Moderate
440.3,59.7,40.6,91.8,5.69,0.74,49.5,23.68,59.81,Moderate
231.1,18.4,13.9,34.7,4.31,0.4,16.68,24.99,31.13,Poor
292.0,114.6,22.4,63.6,5.34,0.96,53.98,19.08,55.6,Moderate
661.2,114.6,56.0,110.9,5.48,0.69,56.29,22.42,64.35,Moderate
406.1,77.1,43.6,69.6,7.75,1.78,58.99,23.91,57.84,Moderate
753.9,149.9,80.1,142.4,7.1,1.67,62.43,17.09,70.86,Healthy
597.0,159.9,55.3,180.3,6.69,0.87,74.15,22.49,73.68,Healthy
669.7,135.0,59.9,232.4,6.93,1.75,64.76,15.72,71.17,Healthy
387.0,9.1,4.7,40.8,4.96,0.2,20.51,14.53,33.09,Poor
666.7,118.8,46.9,120.2,6.34,1.79,65.87,25.43,71.03,Healthy
838.6,134.0,69.8,197.6,5.79,1.53,73.89,25.29,71.39,Healthy
427.4,158.0,50.4,162.0,6.45,1.07,64.8,24.48,76.28,Healthy
829.6,63.1,32.5,104.1,6.47,0.59,31.84,29.37,61.99,Moderate
513.2,82.9,53.4,226.6,6.67,1.14,68.14,19.27,72.38,Healthy
807.0,128.5,91.0,171.0,6.71,1.09,58.94,26.84,79.18,Healthy
344.0,5.6,13.5,47.0,4.89,0.15,36.52,18.56,38.45,Poor
430.6,168.5,72.9,187.0,6.52,1.13,75.69,25.47,76.61,Healthy
470.4,158.9,41.9,229.1,6.1,1.32,54.91,17.97,72.46,Healthy
292.6,10.2,2.9,23.7,5.02,0.46,23.17,34.03,33.75,Poor
739.5,117.4,84.8,168.9,6.39,0.9,63.51,15.6,74.61,Healthy
303.6,21.8,12.9,55.4,4.64,0.53,11.38,17.68,31.98,Poor
277.3,71.1,43.0,107.0,5.33,0.95,54.59,26.24,57.86,Moderate
525.1,122.4,21.7,147.9,4.92,0.61,45.54,12.08,49.77,Moderate
553.6,202.2,90.4,168.7,6.39,1.76,75.96,26.88,76.02,Healthy
747.4,90.0,77.1,173.0,6.09,1.3,67.17,27.21,72.84,Healthy
595.6,97.4,54.0,224.6,6.76,1.43,54.47,23.88,74.9,Healthy
481.2,30.7,69.4,151.7,6.46,0.83,53.52,24.69,70.82,Healthy
690.6,68.6,33.1,65.0,5.33,0.74,38.7,29.8,52.04,Moderate
890.6,193.6,67.0,231.0,6.46,1.64,75.34,26.46,79.75,Healthy
740.1,90.9,73.5,166.7,6.67,1.8,73.79,18.57,69.82,Healthy
690.0,119.5,47.3,204.5,6.29,1.21,63.16,21.42,76.03,Healthy
785.7,144.0,45.2,219.5,6.69,1.65,48.3,24.67,75.35,Healthy
400.0,121.0,47.3,112.9,5.85,0.82,63.11,31.81,63.26,Moderate
267.3,103.5,30.4,136.6,5.22,0.52,44.38,25.97,54.26,Moderate
515.4,198.6,60.7,243.6,6.52,1.54,45.69,20.02,77.52,Healthy
289.2,6.8,17.3,55.2,4.05,0.11,23.21,26.29,29.45,Poor
224.3,21.4,9.7,54.5,4.26,0.49,10.76,13.42,25.47,Poor
139.7,5.7,7.8,35.4,3.86,0.41,31.62,18.67,28.38,Poor
620.0,47.4,68.6,85.8,6.38,1.04,57.93,28.67,69.49,Healthy
521.4,66.4,7.9,55.3,5.31,3.39,28.89,11.25,35.91,Poor
272.7,11.6,18.1,18.6,3.98,0.37,11.75,11.96,21.55,Poor
307.6,62.7,30.7,88.3,5.15,1.18,41.84,19.93,51.6,Moderate
424.2,163.2,86.0,154.2,6.05,1.4,51.67,25.85,73.46,Healthy
589.5,67.5,43.6,138.6,4.78,0.63,38.72,16.44,48.41,Moderate
659.5,94.1,39.5,73.0,7.93,1.12,58.28,14.72,55.91,Moderate
489.0,30.5,16.2,48.5,4.04,0.4,14.1,21.21,30.14,Poor
184.8,22.3,10.6,53.0,4.49,0.37,40.91,27.57,37.41,Poor
857.6,154.3,67.0,187.2,6.85,1.55,69.9,22.59,75.82,Healthy
549.2,86.6,49.6,85.7,7.89,2.14,43.49,23.95,53.79,Moderate
336.7,90.3,60.0,148.6,6.04,0.91,37.53,24.55,64.49,Moderate
412.6,81.2,45.5,144.4,7.85,1.9,42.42,23.61,55.21,Moderate
377.3,83.4,47.5,121.4,6.06,0.95,45.83,18.29,62.52,Moderate
355.8,82.8,29.8,132.3,6.3,0.7,37.17,20.61,61.59,Moderate
96.9,25.3,8.6,51.9,5.28,0.19,19.69,32.21,35.68,Poor
654.5,54.6,32.1,118.3,7.97,1.36,60.26,29.45,56.69,Moderate
513.9,81.0,55.3,138.2,6.0,1.19,29.15,26.29,62.51,Moderate
951.3,105.1,53.8,136.7,6.91,1.9,59.38,19.41,70.49,Healthy
619.6,95.6,44.6,157.6,6.19,1.9,67.19,26.37,68.28,Healthy
417.9,7.5,18.4,22.7,4.56,0.42,20.97,24.34,35.46,Poor
80.6,12.1,16.9,20.4,4.96,0.57,17.83,37.35,30.34,Poor
747.2,49.6,38.6,145.3,7.61,1.41,30.16,33.32,52.46,Moderate
434.2,72.0,56.1,68.2,5.81,0.89,40.18,25.64,59.4,Moderate
318.5,13.2,6.5,83.7,7.51,3.39,26.65,26.7,39.0,Poor
374.7,25.7,8.1,45.4,4.21,0.14,22.7,30.33,29.31,Poor
192.4,11.0,11.8,52.4,4.16,0.22,37.99,35.24,29.15,Poor
691.7,43.9,41.1,117.6,6.57,1.2,70.85,24.6,69.84,Healthy
1006.5,79.4,65.1,131.6,6.89,1.61,60.5,19.18,71.64,Healthy
553.8,47.9,35.0,84.2,8.23,1.23,47.1,19.4,50.4,Moderate
393.6,165.7,96.4,230.2,6.79,1.63,62.82,26.59,78.09,Healthy
470.1,76.3,61.2,137.0,7.23,0.81,28.5,24.76,59.43,Moderate
397.6,32.4,12.5,17.9,3.86,0.46,18.01,12.84,25.13,Poor
354.6,27.1,25.1,22.1,7.55,3.32,28.66,39.5,33.37,Poor
317.9,46.9,36.8,94.5,7.84,1.17,63.22,20.3,55.45,Moderate
354.3,27.7,53.4,102.2,6.53,0.62,58.01,20.35,65.96,Healthy
329.3,23.3,19.2,75.3,5.05,0.48,18.08,16.05,37.56,Poor
718.6,188.6,82.9,154.4,6.0,1.15,53.33,14.32,73.09,Healthy
733.5,86.1,37.5,210.8,6.67,1.17,65.11,24.11,75.39,Healthy
391.6,15.6,4.1,40.1,4.27,0.14,34.78,34.79,29.81,Poor
599.1,166.3,76.4,153.1,7.15,1.35,71.91,17.43,69.35,Healthy
373.3,79.9,54.8,80.0,5.17,0.75,43.97,23.7,55.0,Moderate
242.2,13.2,5.8,69.3,5.08,0.15,15.38,19.89,35.53,Poor
641.5,85.7,61.5,91.5,5.72,0.7,47.91,22.51,62.91,Moderate
523.8,126.8,88.6,162.2,6.88,1.34,45.04,18.36,70.46,Healthy
564.1,127.3,74.9,174.7,6.64,1.75,65.24,24.2,75.6,Healthy
485.0,73.3,24.2,47.3,7.91,3.54,40.62,38.42,36.34,Poor
930.0,111.4,44.8,215.1,6.18,1.15,76.87,23.02,73.81,Healthy
463.5,81.8,65.6,105.0,6.1,0.68,41.83,24.85,64.41,Moderate
161.5,15.9,11.3,51.4,3.93,0.3,16.49,16.33,24.55,Poor
842.3,121.4,33.4,158.4,7.0,1.32,23.06,28.29,62.68,Moderate
443.2,6.9,14.6,58.2,4.27,0.38,38.38,16.5,34.54,Poor
388.7,70.3,44.6,78.7,8.05,1.27,45.72,13.69,49.12,Moderate
471.8,199.7,45.3,238.3,6.47,0.85,54.79,21.13,78.59,Healthy
781.6,184.3,59.7,218.9,6.83,0.94,54.72,16.53,75.87,Healthy
573.3,79.1,60.5,130.7,5.27,0.52,40.1,17.71,54.55,Moderate
705.1,57.7,30.8,168.1,6.81,0.91,71.81,25.99,67.3,Healthy
631.4,52.8,70.2,167.1,6.07,1.02,68.04,28.32,68.55,Healthy
275.5,108.1,31.3,130.4,4.84,0.93,50.58,31.96,51.28,Moderate
759.8,96.1,43.0,126.9,6.58,0.93,63.33,22.91,73.38,Healthy
710.1,174.9,43.9,260.5,6.8,0.98,51.95,18.64,76.02,Healthy
191.2,33.2,13.6,20.4,4.63,0.4,14.23,29.43,31.1,Poor
464.3,109.9,71.3,149.6,5.76,0.99,59.97,22.9,70.0,Healthy
627.9,51.1,67.4,120.5,6.46,0.79,75.69,24.35,69.28,Healthy
402.8,93.9,26.4,82.1,6.62,1.48,36.34,37.17,57.16,Moderate
922.2,177.6,64.9,239.3,6.4,0.89,76.27,25.91,79.43,Healthy
499.6,57.4,69.4,151.1,6.53,0.68,72.44,27.47,68.79,Healthy
533.0,41.1,50.9,105.5,6.43,1.17,75.53,24.81,67.62,Healthy
735.4,189.0,57.2,206.6,6.77,0.97,48.88,18.28,75.26,Healthy
657.8,87.7,54.3,199.1,6.2,1.17,60.08,16.78,72.41,Healthy
666.7,120.3,48.5,95.0,5.81,0.7,49.24,18.37,62.87,Moderate
354.0,30.8,15.2,45.8,3.84,0.18,16.45,30.06,26.85,Poor
413.6,89.2,14.8,115.9,7.7,0.94,45.13,16.5,52.73,Moderate
466.0,154.4,78.5,223.0,6.86,1.08,76.36,18.6,72.6,Healthy
441.0,16.5,22.5,20.5,7.84,3.34,41.4,16.59,37.56,Poor
409.8,105.2,38.1,136.4,5.83,0.84,44.39,28.06,61.48,Moderate
388.2,92.6,31.7,63.5,5.79,0.54,57.65,23.44,61.22,Moderate
481.9,169.8,58.3,172.8,6.57,1.59,47.51,23.24,74.88,Healthy
675.3,63.9,38.0,74.2,5.83,0.47,37.09,23.18,57.72,Moderate
757.0,116.8,45.1,85.2,6.76,1.02,29.95,25.88,64.99,Moderate
489.9,43.0,64.0,182.6,6.62,0.6,57.94,21.63,70.68,Healthy
695.6,150.5,48.0,246.2,6.68,1.59,45.04,25.2,75.41,Healthy
653.5,152.1,54.3,199.1,6.24,1.5,81.62,15.96,68.85,Healthy
641.8,84.0,61.4,157.0,5.73,1.5,56.04,19.74,66.53,Healthy
629.6,110.4,49.8,169.3,6.99,1.16,79.07,19.66,67.0,Healthy
802.3,96.0,44.6,125.2,6.59,1.38,57.59,26.01,73.77,Healthy
589.2,157.3,32.5,200.5,5.82,1.69,60.61,23.26,71.23,Healthy
697.2,35.2,68.2,130.4,6.14,0.67,68.69,22.9,67.47,Healthy
212.7,14.3,16.9,11.0,4.21,0.48,29.57,21.49,32.06,Poor
412.2,110.8,35.8,86.3,7.27,1.17,39.31,27.47,59.4,Moderate
437.3,42.7,7.1,28.9,7.99,3.87,24.96,14.3,30.04,Poor
58.5,17.5,20.4,60.6,5.12,0.34,30.73,13.1,36.78,Poor
764.0,159.8,54.8,149.0,6.84,0.99,62.35,28.39,74.32,Healthy
197.1,5.6,18.2,14.7,4.6,0.16,31.32,19.89,33.61,Poor
740.7,147.3,79.1,137.8,6.54,0.97,68.13,24.09,78.23,Healthy
272.7,26.5,12.2,95.2,4.97,0.39,98.91,12.12,35.25,Poor
537.4,87.7,37.3,81.9,7.45,2.02,56.1,27.95,58.26,Moderate
794.0,168.0,85.6,172.9,6.29,1.11,58.86,18.47,79.23,Healthy
879.0,172.6,79.9,221.8,7.06,1.09,54.01,16.74,76.07,Healthy
619.9,180.7,87.6,188.2,6.94,1.43,75.54,15.19,71.66,Healthy
623.9,90.5,39.9,77.7,7.91,2.18,42.14,27.79,51.04,Moderate
600.9,135.8,42.7,151.6,6.68,1.33,65.6,18.84,72.0,Healthy
601.4,134.6,81.8,259.1,6.22,1.06,64.54,26.19,79.09,Healthy
762.0,149.5,47.3,147.1,7.06,1.74,66.9,23.58,70.82,Healthy
598.6,88.3,52.3,134.1,4.89,0.68,50.43,32.99,53.12,Moderate
169.6,25.2,20.2,15.6,4.02,0.13,14.6,22.58,26.49,Poor
602.8,152.4,50.2,147.4,6.44,1.73,76.77,25.7,71.56,Healthy
702.1,115.4,54.1,195.9,6.47,0.82,57.85,22.33,76.92,Healthy
719.4,174.9,88.2,229.1,7.12,0.81,69.21,24.62,76.7,Healthy
692.0,88.9,50.4,187.4,6.99,1.42,79.98,23.36,67.98,Healthy
374.5,16.4,9.2,37.0,4.84,0.59,21.79,36.58,32.83,Poor
216.0,26.6,7.4,41.4,4.28,0.16,38.37,8.05,27.95,Poor
638.4,159.7,78.5,218.5,5.85,1.16,61.03,17.42,74.71,Healthy
84.8,35.7,18.0,30.7,4.48,0.56,31.57,34.68,32.12,Poor
579.6,58.8,68.7,93.3,6.35,1.05,73.67,19.89,67.23,Healthy
725.6,196.0,50.6,215.6,6.94,1.17,75.85,20.68,74.65,Healthy
370.7,85.9,47.7,63.7,5.26,0.65,65.01,23.37,57.07,Moderate
688.5,39.1,76.6,145.4,6.15,0.81,55.2,26.15,69.76,Healthy
578.6,130.8,81.0,209.2,6.85,1.48,43.37,24.72,73.69,Healthy
212.4,120.3,58.9,107.4,5.96,0.87,44.28,27.42,62.87,Moderate
899.1,60.7,32.8,87.4,6.0,1.04,41.6,28.9,62.04,Moderate
375.9,20.4,11.3,63.2,4.0,0.52,26.75,17.69,30.57,Poor
790.4,75.7,30.7,84.6,6.72,1.21,37.77,20.19,64.39,Moderate
565.8,86.7,59.0,134.3,5.53,0.95,53.55,14.62,60.59,Moderate
568.7,92.8,36.6,93.5,5.09,0.69,42.52,17.44,51.71,Moderate
417.8,8.9,5.5,47.3,4.49,0.6,16.27,23.12,34.13,Poor
414.4,9.2,5.0,45.2,4.27,0.19,13.38,17.13,26.87,Poor
652.5,51.3,69.8,171.2,5.98,0.79,53.93,22.07,68.64,Healthy
294.1,62.9,23.4,50.2,7.92,3.46,56.1,12.43,39.98,Poor
514.0,85.0,59.4,85.0,6.41,1.21,32.88,28.26,64.76,Moderate
363.4,83.7,37.3,123.2,7.82,1.6,45.92,17.37,53.0,Moderate
128.8,37.7,15.9,64.6,3.78,0.09,39.0,35.44,28.79,Poor
609.8,135.4,44.7,222.4,6.97,1.52,54.13,23.37,73.35,Healthy
132.9,13.7,2.1,37.1,3.94,0.36,30.07,31.47,26.73,Poor
476.4,69.6,52.2,66.9,5.34,1.01,50.27,12.04,53.07,Moderate
431.0,30.5,56.4,137.6,6.66,0.78,63.57,18.54,66.23,Healthy
589.7,106.2,53.3,192.0,5.75,1.66,57.63,25.23,69.09,Healthy
655.9,123.9,46.9,247.1,6.35,1.77,72.83,23.68,74.44,Healthy
223.0,91.3,48.2,126.8,5.55,0.38,39.03,20.79,54.86,Moderate
263.3,100.3,27.4,86.6,4.93,0.48,55.7,11.96,47.39,Moderate
697.0,73.5,52.1,81.2,5.28,0.48,37.06,17.61,52.04,Moderate
604.8,45.2,20.0,100.8,8.03,1.59,51.42,22.43,52.92,Moderate
728.7,64.6,44.8,118.1,7.86,1.69,63.22,22.49,59.34,Moderate
98.9,34.1,10.8,40.2,5.19,0.58,31.71,16.2,39.69,Poor
644.2,104.6,56.4,130.1,6.83,0.59,31.39,29.24,62.42,Moderate
388.5,51.4,32.8,115.2,7.43,1.79,41.82,18.77,53.56,Moderate
402.6,19.3,4.7,63.7,3.98,0.28,27.83,26.85,31.2,Poor
354.1,90.0,46.0,88.5,7.52,1.1,46.53,17.72,56.83,Moderate
741.7,133.0,38.3,147.1,6.37,1.7,60.71,22.05,74.03,Healthy
324.9,64.6,62.3,141.2,5.33,0.44,45.6,28.83,54.98,Moderate
303.7,62.8,5.8,61.6,7.92,3.8,49.95,37.7,35.7,Poor
590.6,87.2,44.3,82.2,5.43,0.4,57.28,25.07,59.8,Moderate
693.1,136.3,65.2,129.5,6.71,1.18,67.35,16.47,72.13,Healthy
725.5,162.6,52.9,198.7,6.16,1.73,58.26,22.68,76.04,Healthy
528.7,45.9,56.2,154.7,6.56,1.15,52.35,25.4,71.43,Healthy
495.8,76.9,28.7,127.9,6.3,0.66,41.18,18.45,61.81,Moderate
930.4,93.4,49.1,195.5,6.9,1.25,54.79,16.69,71.75,Healthy
645.4,71.8,27.0,138.3,5.07,0.91,51.94,27.53,56.55,Moderate
431.1,12.9,19.6,56.4,4.2,0.24,10.99,27.02,29.41,Poor
226.2,30.5,7.3,45.6,3.95,0.13,18.85,21.22,27.37,Poor
437.4,87.6,37.7,84.9,8.23,1.57,60.53,19.14,53.03,Moderate
429.3,61.9,59.3,111.8,7.59,0.85,29.89,22.27,54.43,Moderate
741.2,204.1,53.0,179.4,6.75,1.81,59.8,28.02,76.84,Healthy
148.4,25.8,6.5,54.9,3.78,0.58,32.25,14.54,28.71,Poor
342.8,120.3,48.6,88.6,7.16,0.84,32.38,30.49,56.87,Moderate
546.6,149.8,85.5,205.5,6.75,1.82,52.33,27.19,74.97,Healthy
426.0,24.2,18.6,68.0,5.07,0.42,13.55,36.34,34.7,Poor
489.3,156.7,41.7,181.6,5.85,1.76,60.3,22.36,70.19,Healthy
701.2,41.8,77.1,187.2,6.88,1.24,61.44,19.59,72.25,Healthy
541.1,166.9,78.9,237.0,7.27,1.08,51.21,15.86,71.02,Healthy
604.2,54.1,34.6,113.8,7.95,1.34,49.24,29.12,54.25,Moderate
593.6,35.0,49.3,152.7,6.3,0.8,57.63,21.76,69.06,Healthy
508.5,8.7,5.4,19.5,3.9,0.37,35.46,32.76,29.38,Poor
613.2,123.4,68.6,136.2,6.49,1.05,67.78,25.65,75.47,Healthy
136.7,27.4,12.8,53.8,4.53,0.15,11.3,40.27,23.76,Poor
646.7,41.8,43.3,115.4,7.71,2.24,59.81,29.58,55.51,Moderate
552.1,54.5,33.0,124.6,6.91,1.33,60.7,29.72,65.49,Healthy
310.2,22.9,18.1,45.0,4.57,0.34,34.75,12.26,33.72,Poor
423.2,188.2,77.3,236.5,6.04,1.09,42.13,16.04,71.69,Healthy
814.9,146.5,86.5,236.6,6.26,0.86,50.62,23.72,79.92,Healthy
212.4,10.5,12.8,55.6,4.29,0.53,23.69,28.18,31.78,Poor
584.9,118.5,56.3,166.8,6.79,1.97,79.61,20.37,66.48,Healthy
157.5,23.4,14.3,19.2,4.79,0.54,28.48,23.69,38.31,Poor
307.4,24.0,6.0,20.4,7.44,3.05,46.91,39.18,38.09,Poor
276.2,25.2,10.8,58.8,4.9,0.23,31.99,37.86,34.32,Poor
322.7,47.4,17.6,122.1,7.75,1.34,50.14,23.04,55.12,Moderate
